Year,Meat,"Fish, seafood and other marine products",Dairy products and eggs,Bakery and cereal products (excluding baby food),"Fruit, fruit preparations and nuts",Vegetables and vegetable preparations,Other food products and non-alcoholic beverages,Food purchased from table-service restaurants (17),Food purchased from fast food and take-out restaurants (17),Rent (32),Tenants' insurance premiums,"Tenants' maintenance, repairs and other expenses",Mortgage interest cost,Homeowners' replacement cost,Property taxes and other special charges,Homeowners' home and mortgage insurance (29),Homeowners' maintenance and repairs,Electricity,Water,Natural gas,Fuel oil and other fuels,Communications,Child care and housekeeping services,Household cleaning products,"Paper, plastic and aluminum foil supplies",Other household goods and services,Furniture and household textiles,Household equipment,Services related to household furnishings and equipment,Women's clothing,Men's clothing,Children's clothing,Women's footwear (excluding athletic),Men's footwear (excluding athletic),Athletic footwear,Leather clothing accessories,Watches,Jewellery,Clothing material and notions,Laundry services,Dry cleaning services,Other clothing services,"Purchase, leasing and rental of passenger vehicles",Operation of passenger vehicles,Local and commuter transportation,Inter-city transportation,Health care goods,Health care services,Personal care supplies and equipment,Personal care services,Recreational equipment and services (excluding recreational vehicles),Purchase and operation of recreational vehicles,"Home entertainment equipment, parts and services",Travel services,Other cultural and recreational services,Education,Reading material (excluding textbooks),Alcoholic beverages served in licensed establishments,Alcoholic beverages purchased from stores,Cigarettes,All-items
1985,63.3,60.1,70.3,67.6,78.1,67,75.2,56.9,60.1,66.3,67,79.2,87.1,61,53.1,50.6,68.2,55.7,47.2,60,76.9,87.1,56.4,77.4,63,63,73.7,86.4,54.8,71.3,72.6,73.5,66.6,69.2,91.3,75.6,80.8,85.5,72,67.7,53.2,60.5,63.9,59,45.2,36.3,61.4,53.4,78.1,54.1,115.6,55.7,104.9,53.5,42.8,33.1,47.2,54.2,56.4,33.3,65.6
1986,67.3,62.6,71.4,71.2,81.2,72.5,79.5,59.5,62.9,69,69.7,80.7,86.7,66.4,56.3,54.8,70.5,57.6,49.6,59.8,63.2,87.3,58.6,80.9,64.5,66.3,76.2,89,56.8,73.5,74.1,75.3,68.4,70.4,91.8,77.6,83.6,86.9,73.5,69.8,56.3,62.1,69.2,57.7,48.9,42.3,65.3,56,80.2,56.5,118.3,58.6,104.3,58,45.8,35,50.4,58.6,61.5,39.1,68.5
1987,72.7,68.6,72.7,73.1,82,80.4,80.2,62.1,65.2,71.6,71.6,78.7,87.7,76.3,59.9,63,72.2,60,49.6,58.5,60.1,85.3,62.4,83.6,66.8,69.1,79.1,91.7,59.2,76.5,77.2,77.7,72,73.6,93.1,79.1,88.3,93.9,75.8,72.5,59.2,64.1,70.5,60.5,51.2,43.6,70.9,58.3,83.2,59,122.6,62.3,105.9,59.9,49.1,36.8,54.3,62.3,64.7,42.4,71.2
1988,72.9,74.4,75.4,75.6,85.6,78.7,81.6,65,67.9,74.4,72.5,80.1,90.7,83,63.8,68.3,73.9,62.3,53,57.5,61.9,85.9,66.6,87.6,69.8,72.9,82.5,93.7,61.8,80.7,81.5,81.5,74.8,77,96.9,83,93.3,96.6,79.3,74.7,62.8,66.7,73.5,62.2,54.1,37.9,76.5,60.9,84.6,62.2,127.6,66.4,108.7,63.1,53.3,38.8,57.4,66.5,69.2,45.9,74.8
1989,75.1,77.2,77.8,78,82.9,85.1,84.7,68.3,71.4,78.4,76,80.6,99.4,89.5,67.4,73.8,76.3,64.8,57.1,54.9,61.2,83.1,70.6,91,74.4,77.1,86,97.6,64.5,84.1,85,84.2,77.3,80.7,103,85.8,95.2,97.3,82.3,77,67,68.9,77.6,66,57.1,41.5,80.5,64.1,86.9,65.7,134.1,70.2,110.2,65,56.6,40.8,60.2,69.6,72.2,54.1,78.4
1990,79.7,76.6,80.2,81,88.4,85.9,86.9,71.5,75.3,81.5,76.6,83.2,111.8,90.7,72.5,75.3,78.2,68.7,62.1,52.1,72.8,82.2,74.8,92.9,77.1,81.1,87.2,97.9,68,87,86.2,86.2,80.3,82.1,105.6,88.3,97,100.4,83.4,79.5,71.2,71.5,78.1,72.5,60.8,47.4,84.3,67.8,90.2,69.5,137.1,73.3,109.6,66.7,60.2,44.5,63.6,73.5,76.1,61.8,82.8
1991,80.2,78.6,82.6,81.6,97.4,85.7,88.1,79.2,83.6,84.3,81.2,91,118.8,86.7,78,73.2,83.3,78.6,67.2,57.1,78.7,83.3,80.1,96.8,78.1,86.4,91.1,99.4,75.4,95.8,94.5,95.5,89.7,91,112.1,94,98.4,102.2,91,84.7,79.9,78,76.7,74.6,66.4,54.1,88.5,71.4,94.6,78.8,139.8,75.4,111,70.9,65.5,51.1,72.3,82.2,80,81.3,84
1992,78.7,81.2,83.2,82.4,91.4,85,85.5,80.5,85.3,86.6,82.7,92,114.5,87.5,82.6,74.4,84.1,83.7,72.6,59.2,75.8,84.4,85.2,94,76.6,86.9,90.9,98.4,77.5,96.6,95.8,96.8,88.7,92,111.8,93.6,94.9,103.5,90.4,85.3,81.9,78.9,79.5,74.8,73.1,53.4,90.2,75.5,94.5,81.7,136.8,76.6,105.9,69,67.9,56.2,73.3,84.3,83.9,88.1,85.6
1993,81.7,85,82.8,83.5,88.9,90.8,86.8,81.2,87,88.5,83.9,87.7,108.9,88.3,88.2,77.4,82.2,87.2,76.9,61.5,77.1,85.3,88.1,94.8,77.5,87.1,91.5,98.4,79.2,97.3,96.7,98.8,89.6,92.6,115.5,94,95.7,100.5,91.3,87,84.4,79.5,82.8,76.2,75.7,56.6,91.9,78.3,97.1,83.7,137.7,78.7,104.5,69.4,70.7,59.9,74.5,86.1,85.5,89,85.7
1994,81.9,85.1,82.7,85,87.9,86.3,88.4,82.2,88.3,90.1,84.7,84.1,103.4,88.5,90.5,79.3,80.8,87.7,79.5,66.7,76.2,85.5,90.9,91.7,76.8,87.2,91.4,98.5,80.6,98.3,96.6,99.6,91.5,94.9,115.2,95.7,96.9,100.6,92.1,88,85.9,80,88.2,77.9,76.7,61.1,91.9,80.6,96.7,85.5,138.4,81.4,103.4,71.4,73.2,64,76.9,86.7,85.5,56.5,87.6
