Year,UnEmployment Rate,Barley Production,Corn for grain Production,Oats Production,Soybeans Production,Sunflower seed Production,Wheat Production,Extreme Weather #,Extreme Weather Cost,"Eggs, hen, in shell","Hides, cattle, fresh","Meat indigenous, cattle","Meat indigenous, chicken","Meat indigenous, pig","Meat indigenous, turkey","Meat, cattle","Meat, chicken","Meat, pig","Meat, turkey","Milk, whole fresh cow",Population,Agricultural area,Arable land,Permanent crops,Total grain and wheat flour exports,Agriculture Emissions,Land Use Emissions,CPI,GDP,AG_Percent_in_GDP,Farm Net Income,HungerCount
1996,9.608,15562000,7541700,4361100,2169500,54900,29801400,16,68739948.1,329940,87655,1467120,735000,1452640,146720,1016500,746490,1227760,145727,7890000,29671900,68055,45529,6914,26531,55845.41,12699,89.7,35.519,0.78,3819030,669877
1997,9.092,13533900,7179800,3489300,2737700,65100,24299400,10,39329591.7,336300,90770,1513731,726000,1516520,142550,1089480,774790,1256700,142273,8100000,29987200,67944,45599,6777,27088,55032.55,6691,90.4,31.403,0.64,1564807,716496
1998,8.292,12708700,8952400,3957500,2736600,111800,24082300,12,313378423.3,339420,93888,1544680,770000,1730997,140400,1182023,823500,1391960,139160,8200000,30247900,67834,45669,6641,22003,56785.2,34174,91.3,31.315,0.71,1820076,718292
1999,7.567,13196000,9161300,3641300,2780900,121900,26959900,27,20866884.6,354081,98405,1498120,860700,1908347,140700,1263816,866190,1566422,139560,8164000,30499200,67723,45739,6504,25921,55667.41,14639,93.7,32.486,0.7,2131926,726902
2000,6.833,13228600,6953700,3403300,2703000,119300,26535500,8,1418645.9,372390,95903,1460700,900000,2002230,154000,1263440,903878,1639976,152594,8161000,30769700,67613,45810,6368,27457,54259.25,5978,96.7,33.543,0.74,2435594,708334
2001,7.225,10845600,8389200,2690700,1635200,103800,20630200,5,3655797.7,385330,95115,1567600,949700,2177260,152800,1261610,952950,1731294,149493,8106000,31081900,67502,45880,6231,21750,54267.95,3295,97.4,33.336,0.66,2673780,737665
2002,7.667,7467700,8998800,2910700,2335700,157400,15961300,14,2114034.9,391770,95918,1694600,953400,2339170,149500,1294720,955965,1858352,146410,7964000,31362000,67517,45726,6391,13435,55934.32,28643,101.1,34.612,0.79,1511642,776783
2003,7.575,12164200,9587300,3376700,2273300,142300,23048600,14,14025431.6,393010,87933,1314700,954500,2505710,151600,1203240,954366,1882301,148911,7734000,31676000,67535,45573,6552,23796,55854.38,25430,103.2,38.867,0.81,2775036,803335
2004,7.158,12556700,8836800,3467200,3043900,52200,24795500,8,1544242.2,377070,110960,1492200,968100,2656120,148400,1503540,969789,1936320,145107,7905000,31995000,67551,45419,6712,22294,57304.83,17823,105.4,43.771,0.69,4026406,786968
2005,6.758,11677600,9332200,3282700,3155600,84400,25748100,16,39528591.7,399260,111860,1678500,998000,2625933,157800,1464460,1000077,1920060,155419,7806000,32312000,67569,45266,6873,27226,58869.23,17365,107.6,47.386,0.72,2578616,744055
2006,6.292,9573100,8989800,3852200,3465500,157300,25265400,17,751270.1,399612,103875,1590268,950800,2662248,153000,1327200,997482,1898286,163411,8041000,32570505,65954,45112,5401,30254,55610.26,23004,109.4,51.307,0.65,251391,703051
2007,6.033,10909800,11648700,4618400,2686200,123800,20090400,25,10574432.7,398436,95510,1615737,964700,2793241,157000,1278580,1030127,1898000,169686,8145000,32887928,65282.4,44683,5306,29494,58899.13,15173,112,57.793,0.59,1129856,675735
2008,6.158,11785800,10642800,4272600,3335900,105600,28619200,39,2054001.7,419013,96098,1551000,965400,2786100,162000,1288070,1041241,1947830,179982,8140000,33245773,64610.8,44254,5211,32563,57457.35,18269,113.3,63.386,0.5,7013941,794738
2009,8.358,9528200,9796200,2911500,3581600,101900,26949900,20,13373728.5,422042,92630,1507000,964750,2510736,150000,1251930,1036054,1943420,166503,8213300,33628571,63940.2,43826,5116,30818,55642.63,1757,114.8,60.087,0.63,2846841,867948
2010,8,7627200,12043300,2451400,4444600,67600,23299600,22,96379531.5,451500,93640,1532000,971600,2447400,143098,1272260,1048459,1938220,158998,8243000,34005274,63268.6,43397,5021,31357,56377.33,30946,117.5,65.906,0.57,2413012,851014
2011,7.5,7891500,11358700,3157600,4466500,19800,25288000,15,74477664.7,459060,84848,1390000,969550,2507620,143680,1140980,1053216,1975340,159645,8400000,34342780,62597,42968,4926,32061,57575.14,18613,120.2,73.242,0.55,6085181,872379
2012,7.325,8012300,13060100,2829600,5086400,86900,27205200,16,1568319.6,467850,77763,999300,979735,2542050,159200,1059920,1063650,2004410,160754,8564000,34750545,65446,46015,4831,33711,58195.5,21781,121.2,74.802,0.53,6335381,833098
2013,7.1,10237100,14193800,3905600,5358900,51900,37529600,6,179146807.9,473000,76660,876380,992270,2526890,166400,1055720,1076753,1980560,168383,8394000,35155451,65351,46015,4736,40118,63254.01,40605,122.7,76.925,0.41,12408746,841191
